notion_id,name,url,select_type,priority,checked
18fed686b47d81f6b2a4f196c815c5c4,"A Ray Peat Pro Metabolic Diet - Burn Fat & Win Figure Shows",https://www.prometaboliclife.com/ray-peat-pro-metabolic-diet-to-burn-fat/,Read,,false
18fed686b47d81d7939bd313890a69f3,"3 Sample Pro Metabolic Meal Plans (Dr Ray Peat Inspired)",https://www.prometaboliclife.com/pro-metabolic-meal-plans-dr-ray-peats-research/,Read,,false
18fed686b47d817a8900c9a7abbc08fc,"A Ray Peat Pro Metabolic Diet - Burn Fat (2)",https://www.prometaboliclife.com/ray-peat-pro-metabolic-diet-to-burn-fat/,Read,,false
18fed686b47d81229cf4f596c4ef92c6,Home - ProMetabolic Life,https://www.prometaboliclife.com/,Read,,false
18aed686b47d8133b960cb18b7cc608d,"How I Made $6,200 Per Month Selling Stickers Online",https://www.youtube.com/watch?v=Oo4uf6xv1yE,Watch,Important,true
18aed686b47d81a5bdf9d052712f7a02,"My Dad's 3 Lessons I Used To Become A Millionaire In My 20s",https://www.youtube.com/watch?v=O03SLRyQxk8,Watch,Important,true
18aed686b47d817383a6ec3fe1a525a2,Easiest Way To Make Money on Etsy,https://www.youtube.com/watch?v=mpmgMMTm28E,Watch,Important,true
18aed686b47d81139ab5f189ffb3d439,How I Sold 1000 Etsy Orders In 14 Days - NO Ads,https://www.youtube.com/watch?v=05j1MlROD-I,Watch,Important,true
18aed686b47d816aba41d1821faec361,Why THIS is best business for BEGINNERS in 2025,https://www.youtube.com/watch?v=E8-ReZroKDk,Watch,,true
184ed686b47d81f7b47dfde3c4ffcb69,This NEW Etsy trend is taking over in 2025 (QR code tutorial),https://www.youtube.com/watch?v=kOQ_O7xlnVc,Watch,Important,true
181ed686b47d81d1a8a9d691d533338b,The ULTIMATE Print-on-Demand Design Tutorial,https://www.youtube.com/watch?v=MBBmRT7xTqQ,Watch,Important,true
17bed686b47d818d928ed2753e55a7d5,My Top 4 Game-Changing Print on Demand Tools (budget friendly),https://www.youtube.com/watch?v=ToMNK46w5p8,Watch,Important,true
19bed686b47d812483c2cc34e9297e72,"If You're A Non US Etsy Seller, Watch This...",https://www.youtube.com/watch?v=kcvku3pxIow,Watch,Important,true
19aed686b47d81728520e06335a9254f,The Secret to Getting More Views on Etsy,https://www.youtube.com/watch?v=ZK08zqWeDbo,Watch,Important,true
19aed686b47d817eb211e53405ff7848,My secrets to mastering niches and batching designs in Kittl,https://www.youtube.com/watch?v=ksGIMGE-4tA,Watch,Important,true
19aed686b47d81a4bbe1dee27f91cea2,How to NEVER run out of design ideas for print on demand,https://www.youtube.com/watch?v=dftwp0tMiDM,Watch,Important,true
19aed686b47d810aa947f1934bf595bf,The Canva AI T-Shirts That Are Making People RICH,https://www.youtube.com/watch?v=6iFHeN7rwD0,Watch,Important,true
195ed686b47d81d88e0be87255eec591,The Crazy New AI Tool That Is Making People RICH,https://www.youtube.com/watch?v=8VowO-WEaVw,Watch,Important,true
193ed686b47d81aa8d66e2c43a4e1d20,This One Thing Doubled My Conversion Rate On Etsy,https://www.youtube.com/watch?v=tUcmtxxSZR4,Watch,Important,true
190ed686b47d8108b3e7d9a04cf416de,"Don't Run Etsy Ads Until You Watch This...",https://www.youtube.com/watch?v=N8h6afyQIc0,Watch,Important,true
18ced686b47d81bfa05ccc16cd2abfaa,POD Products That Make Me 400k/Year on Etsy,https://www.youtube.com/watch?v=xwoygHx0Ujc,Watch,Important,true
18ced686b47d81fb9ca6fa68c6378fdb,Guaranteed Strategy to Find 6-Figure Etsy Products,https://www.youtube.com/watch?v=GUdoXHzoA_U,Watch,Important,true
1e5ed686b47d81a3b2dccd784ae1fe98,"Trending Design Style Made Easy With GPT 4o + PLAYGROUND",https://www.youtube.com/watch?v=2F1DqwV7a5k,,,false
1cced686b47d819581dbc0ee921c50ea,"4 Shoulder Health Tests & Skills For Life",https://www.youtube.com/watch?v=hRF0xdZvuvo,,,false
1cbed686b47d81288c44c4674694d07f,"How to Outsmart Your Etsy Competition (EverBee Full Tutorial)",https://www.youtube.com/watch?v=UKTXd-a6Lz0,,,false
1c9ed686b47d81239ac1e6deda2093b2,How to do Inverted Rows (Underrated!),https://www.youtube.com/watch?v=2Synad5Yo-g,,,false
1c4ed686b47d813381bccf004a3203b6,REVEALED: Best Betfair Trading Strategy That Actually Works!,https://www.youtube.com/watch?v=POSZ-_H0a6o,,,false
1c3ed686b47d815aa960d68948de03b7,"PJ Ace on X - Studio Ghibli Lord of the Rings Kling AI project",https://x.com/PJaccetturo/status/1905151190872309907,,,false
1c3ed686b47d81678a4bfe5614167086,PJ Ace (@PJaccetturo) / X,https://x.com/PJaccetturo,,,false
1c2ed686b47d810d8293c3cf197e44e9,Knee Ability REGRESSIONS,https://www.youtube.com/watch?v=c9QjGWHcM0g,,,false
1c0ed686b47d81e3ab1bf8bccc3c225d,"From Zero to $78,000+ Selling T-Shirts in 90-Days",https://www.youtube.com/watch?v=CgedM8qh2I0,,,false
1bded686b47d819c95afd6a3157402c3,Your 30 day plan to GROW on Etsy in 2025 + a Free Guide,https://www.youtube.com/watch?v=lckrEFWqzQQ,,,false
1bded686b47d81a4b7d1d11c4a7c5784,How He Became A Millionaire At 33 with Keenan Williams,https://www.youtube.com/shorts/CndIGPYa5QQ,,,false
1bced686b47d81e8b42fead22993dc88,"Topdressing (sand leveling) to take care of low spots in your yard",https://www.youtube.com/shorts/99UtkQdErTI,,,false
1baed686b47d81beb122e89f97f7383a,"TREND ALERT - This is about to explode on Etsy",https://www.youtube.com/watch?v=ntl2Ic_F__w,,,false
1b9ed686b47d819ca9c4c415fe823fcf,Adra - Stylish and contemporary Welsh gifts,https://adrahome.com/,,,false
1b4ed686b47d8115b99be0196d5e25a3,"$7,965,061.72 with Branded Dropshipping - just copy me",https://www.youtube.com/watch?v=uEuQ0XDGLZU,,,false
1b3ed686b47d819886dad2cac8e7b5ac,9 AI Hacks to SKYROCKET Your Etsy Sales,https://www.youtube.com/watch?v=wn4bdLMckjY,,,false
1b2ed686b47d817cab8ef9439bddcd42,I Built the Healthiest House to Live to 120,https://www.youtube.com/watch?v=67xdgxj0S1E,,,false
1afed686b47d81ec83e8f3212f615dac,Bodlondeb civic offices Conwy - History Points,https://historypoints.org/index.php?page=bodlondeb-civic-offices,,,false
